Patient State,Patient ZIP-3,Cohort Patient Count or %,White,Black or African American,Asian or Pacific Islander,Hispanic or Latino,Other,Unknown
US-LA,712,941.0000,451.00,239.00,14.00,63.00,17.00,157.00
US-CT,064,940.0000,575.00,30.00,12.00,121.00,71.00,131.00
US-PA,180,939.0000,622.00,54.00,5.00,108.00,33.00,117.00
US-TN,371,933.0000,695.00,80.00,8.00,31.00,37.00,82.00
US-CO,802,932.0000,484.00,64.00,24.00,164.00,49.00,147.00
US-TX,786,932.0000,332.00,55.00,11.00,148.00,21.00,365.00
US-OH,456,925.0000,612.00,33.00,6.00,22.00,14.00,238.00
US-LA,711,920.0000,422.00,343.00,14.00,74.00,8.00,59.00
US-NC,284,917.0000,533.00,105.00,1.00,27.00,32.00,219.00
US-SC,294,915.0000,577.00,165.00,14.00,41.00,12.00,106.00
US-FL,333,914.0000,299.00,193.00,16.00,208.00,35.00,163.00
US-MN,551,913.0000,439.00,103.00,19.00,44.00,36.00,272.00
US-WA,983,908.0000,555.00,45.00,31.00,68.00,26.00,183.00
US-NM,871,901.0000,390.00,28.00,11.00,269.00,29.00,174.00
US-IN,471,894.0000,620.00,52.00,5.00,18.00,38.00,161.00
US-NE,681,892.0000,507.00,80.00,7.00,74.00,32.00,192.00
US-NC,282,891.0000,298.00,272.00,13.00,34.00,21.00,253.00
US-OH,442,888.0000,596.00,40.00,7.00,25.00,29.00,191.00
US-VA,201,884.0000,446.00,97.00,72.00,139.00,61.00,69.00
US-WI,530,881.0000,432.00,34.00,7.00,48.00,37.00,323.00
US-MN,553,878.0000,479.00,48.00,18.00,49.00,44.00,240.00
US-TN,378,873.0000,546.00,23.00,18.00,21.00,28.00,237.00
US-UT,841,868.0000,613.00,32.00,18.00,132.00,22.00,51.00
US-WA,992,864.0000,616.00,46.00,21.00,63.00,37.00,81.00
US-SC,295,861.0000,451.00,141.00,8.00,24.00,10.00,227.00
US-NC,276,861.0000,436.00,257.00,17.00,67.00,21.00,63.00
US-NY,146,859.0000,459.00,178.00,21.00,148.00,33.00,20.00
US-KY,410,857.0000,611.00,45.00,4.00,18.00,46.00,133.00
US-MI,486,855.0000,622.00,72.00,6.00,41.00,19.00,95.00
US-NJ,087,846.0000,506.00,32.00,5.00,57.00,96.00,150.00
US-LA,700,843.0000,350.00,208.00,25.00,93.00,24.00,143.00
US-WA,986,843.0000,522.00,37.00,23.00,94.00,22.00,145.00
US-TX,785,841.0000,88.00,3.00,5.00,559.00,5.00,181.00
US-LA,703,837.0000,438.00,102.00,9.00,49.00,42.00,197.00
US-NC,281,831.0000,475.00,83.00,9.00,28.00,20.00,216.00
US-NC,272,831.0000,554.00,133.00,6.00,50.00,12.00,76.00
US-OH,444,824.0000,616.00,45.00,4.00,77.00,22.00,60.00
US-CA,953,821.0000,282.00,28.00,23.00,147.00,51.00,290.00
US-WI,535,820.0000,495.00,45.00,7.00,31.00,13.00,229.00
US-VA,240,815.0000,494.00,129.00,11.00,25.00,47.00,109.00
US-GA,303,814.0000,202.00,313.00,17.00,40.00,58.00,184.00
US-OH,453,807.0000,521.00,47.00,8.00,18.00,29.00,184.00
US-OR,970,798.0000,455.00,17.00,21.00,70.00,20.00,215.00
US-MO,633,792.0000,448.00,34.00,9.00,22.00,45.00,234.00
US-CT,062,791.0000,456.00,44.00,11.00,79.00,46.00,155.00
US-TX,754,790.0000,508.00,62.00,8.00,53.00,10.00,149.00
US-CO,809,787.0000,442.00,43.00,23.00,97.00,54.00,128.00
US-PA,194,786.0000,436.00,67.00,13.00,44.00,113.00,113.00
US-WA,985,783.0000,530.00,32.00,22.00,73.00,21.00,105.00
US-MO,640,779.0000,533.00,69.00,9.00,36.00,9.00,123.00
US-KY,427,772.0000,496.00,53.00,4.00,21.00,76.00,122.00
US-MA,010,769.0000,488.00,33.00,5.00,165.00,18.00,60.00
US-MO,641,764.0000,390.00,182.00,10.00,47.00,11.00,124.00
US-NH,030,761.0000,552.00,11.00,8.00,57.00,81.00,52.00
US-FL,342,758.0000,453.00,40.00,7.00,55.00,22.00,181.00
US-GA,307,755.0000,524.00,30.00,3.00,38.00,33.00,127.00
US-MI,492,750.0000,574.00,48.00,3.00,48.00,18.00,59.00
US-RI,028,743.0000,431.00,33.00,7.00,81.00,7.00,184.00
US-DE,199,741.0000,434.00,95.00,7.00,45.00,16.00,144.00
US-OH,448,729.0000,468.00,21.00,,42.00,23.00,175.00
US-GA,310,723.0000,335.00,152.00,9.00,16.00,32.00,179.00
US-OH,446,717.0000,489.00,30.00,4.00,16.00,15.00,163.00
US-NC,285,717.0000,463.00,110.00,7.00,37.00,16.00,84.00
US-PA,150,714.0000,440.00,42.00,6.00,9.00,16.00,201.00
US-CA,902,712.0000,135.00,93.00,25.00,263.00,44.00,152.00
US-NC,278,708.0000,354.00,213.00,6.00,35.00,21.00,79.00
US-CO,800,704.0000,367.00,49.00,11.00,94.00,63.00,120.00
US-NE,685,704.0000,468.00,34.00,13.00,31.00,22.00,136.00
US-NJ,077,699.0000,344.00,47.00,11.00,55.00,57.00,185.00
US-IN,461,695.0000,485.00,34.00,3.00,20.00,27.00,126.00
US-OH,436,694.0000,386.00,134.00,4.00,105.00,6.00,59.00
US-LA,701,693.0000,122.00,398.00,24.00,54.00,13.00,82.00
US-ID,837,692.0000,341.00,7.00,8.00,31.00,21.00,284.00
US-OH,451,691.0000,564.00,22.00,5.00,41.00,13.00,46.00
US-LA,714,690.0000,376.00,96.00,2.00,41.00,25.00,150.00
US-VA,231,688.0000,408.00,89.00,12.00,61.00,67.00,51.00
US-GA,306,687.0000,346.00,109.00,5.00,24.00,30.00,173.00
US-MI,485,686.0000,417.00,166.00,5.00,38.00,13.00,47.00
US-VA,245,685.0000,372.00,206.00,2.00,23.00,32.00,50.00
US-FL,339,683.0000,388.00,45.00,7.00,100.00,19.00,124.00
US-MD,208,683.0000,257.00,121.00,41.00,76.00,23.00,165.00
US-OK,740,675.0000,323.00,12.00,10.00,24.00,34.00,272.00
US-TN,379,673.0000,414.00,24.00,45.00,16.00,20.00,154.00
US-NC,287,671.0000,524.00,19.00,2.00,30.00,19.00,77.00
US-NY,125,667.0000,397.00,49.00,10.00,119.00,43.00,49.00
US-OH,431,662.0000,368.00,32.00,4.00,17.00,19.00,222.00
US-MA,020,661.0000,499.00,37.00,15.00,42.00,22.00,46.00
US-LA,708,657.0000,177.00,282.00,15.00,31.00,8.00,144.00
US-MD,211,657.0000,277.00,88.00,5.00,19.00,19.00,249.00
US-TX,759,653.0000,266.00,73.00,4.00,32.00,13.00,265.00
US-IN,473,652.0000,419.00,31.00,3.00,7.00,16.00,176.00
US-MI,493,650.0000,378.00,12.00,16.00,24.00,7.00,213.00
US-KY,400,650.0000,439.00,42.00,2.00,14.00,75.00,78.00
US-KY,405,643.0000,404.00,93.00,5.00,27.00,38.00,76.00
US-MS,386,642.0000,357.00,112.00,3.00,17.00,23.00,130.00
US-KY,401,642.0000,424.00,44.00,,23.00,51.00,100.00
US-FL,349,640.0000,340.00,59.00,7.00,74.00,18.00,142.00
US-NY,113,637.0000,176.00,47.00,93.00,130.00,11.00,180.00
US-WI,541,632.0000,286.00,11.00,7.00,24.00,25.00,279.00
US-NM,880,632.0000,280.00,15.00,4.00,231.00,18.00,84.00
US-TX,784,632.0000,147.00,23.00,6.00,274.00,6.00,176.00
US-KY,420,628.0000,440.00,54.00,1.00,31.00,53.00,49.00
US-NJ,078,627.0000,362.00,19.00,10.00,88.00,45.00,103.00
US-FL,320,626.0000,398.00,28.00,21.00,35.00,16.00,128.00
US-CA,959,626.0000,358.00,24.00,10.00,74.00,64.00,96.00
US-CT,067,625.0000,310.00,55.00,8.00,129.00,28.00,95.00
US-IN,469,614.0000,422.00,27.00,2.00,18.00,23.00,122.00
US-TN,383,608.0000,445.00,86.00,5.00,12.00,30.00,30.00
US-IN,460,595.0000,372.00,34.00,6.00,14.00,23.00,146.00
US-TX,781,595.0000,218.00,33.00,5.00,158.00,4.00,177.00
US-CO,805,592.0000,283.00,14.00,7.00,56.00,61.00,171.00
US-OH,437,591.0000,357.00,23.00,,5.00,12.00,194.00
US-OR,975,590.0000,441.00,7.00,14.00,88.00,19.00,21.00
US-CA,906,589.0000,129.00,16.00,39.00,282.00,27.00,96.00
US-MN,550,582.0000,352.00,17.00,4.00,21.00,20.00,168.00
US-AR,720,577.0000,395.00,49.00,47.00,24.00,13.00,49.00
US-CA,933,576.0000,207.00,24.00,11.00,122.00,36.00,176.00
US-VA,235,575.0000,159.00,292.00,9.00,46.00,26.00,43.00
US-KS,660,574.0000,425.00,31.00,10.00,38.00,13.00,57.00
US-NY,109,560.0000,283.00,59.00,13.00,103.00,29.00,73.00
US-LA,710,557.0000,378.00,111.00,6.00,27.00,7.00,28.00
US-NV,895,555.0000,279.00,35.00,11.00,56.00,35.00,139.00
US-ID,833,555.0000,312.00,4.00,3.00,28.00,11.00,197.00
US-CA,908,554.0000,142.00,86.00,31.00,146.00,20.00,129.00
US-CA,935,553.0000,196.00,92.00,8.00,117.00,28.00,112.00
US-TX,756,551.0000,300.00,75.00,1.00,17.00,3.00,155.00
US-CO,801,550.0000,303.00,11.00,11.00,44.00,44.00,137.00
US-MS,395,550.0000,314.00,74.00,4.00,17.00,14.00,127.00
US-IN,479,548.0000,377.00,29.00,4.00,23.00,21.00,94.00
US-MI,487,546.0000,419.00,12.00,9.00,37.00,9.00,60.00
US-NC,270,545.0000,394.00,36.00,2.00,13.00,10.00,90.00
US-SC,293,543.0000,326.00,87.00,4.00,26.00,6.00,94.00
US-WA,984,540.0000,254.00,67.00,17.00,64.00,16.00,122.00
US-DE,197,539.0000,250.00,110.00,9.00,57.00,13.00,100.00
US-TN,372,538.0000,327.00,131.00,7.00,15.00,18.00,40.00
US-IN,465,534.0000,382.00,25.00,6.00,37.00,19.00,65.00
US-PA,196,533.0000,256.00,41.00,6.00,151.00,15.00,64.00
US-OH,443,533.0000,327.00,125.00,7.00,12.00,11.00,51.00
US-WA,993,533.0000,292.00,15.00,10.00,113.00,17.00,86.00
US-NY,142,530.0000,240.00,79.00,9.00,38.00,11.00,153.00
US-TN,376,526.0000,369.00,17.00,5.00,8.00,24.00,103.00
US-VA,242,523.0000,392.00,9.00,1.00,3.00,30.00,88.00
US-SC,290,523.0000,280.00,70.00,4.00,19.00,9.00,141.00
US-WI,543,520.0000,226.00,29.00,7.00,35.00,24.00,199.00
US-GA,317,520.0000,229.00,149.00,5.00,9.00,29.00,99.00
US-CA,919,510.0000,128.00,19.00,42.00,230.00,35.00,56.00
US-VA,241,510.0000,316.00,93.00,,10.00,16.00,75.00
US-TN,374,509.0000,254.00,78.00,7.00,10.00,22.00,138.00
US-TN,381,509.0000,161.00,220.00,10.00,11.00,6.00,101.00
US-CA,930,507.0000,194.00,32.00,15.00,136.00,47.00,83.00
US-PA,193,505.0000,265.00,46.00,9.00,35.00,74.00,76.00
US-PA,151,503.0000,269.00,50.00,4.00,5.00,8.00,167.00
US-TN,377,502.0000,354.00,11.00,7.00,4.00,13.00,113.00
US-KY,421,500.0000,374.00,41.00,2.00,18.00,28.00,37.00
US-MS,394,499.0000,290.00,90.00,4.00,8.00,16.00,91.00
US-AL,365,499.0000,311.00,30.00,3.00,10.00,11.00,134.00
US-KS,672,495.0000,277.00,56.00,5.00,33.00,26.00,98.00
US-PA,184,493.0000,262.00,10.00,4.00,25.00,3.00,189.00
US-NJ,074,489.0000,276.00,25.00,14.00,50.00,43.00,81.00
US-MA,017,488.0000,304.00,29.00,17.00,62.00,20.00,56.00
US-FL,325,487.0000,271.00,60.00,7.00,26.00,14.00,109.00
US-TN,380,487.0000,302.00,80.00,5.00,13.00,23.00,64.00
US-MI,489,487.0000,269.00,93.00,3.00,48.00,12.00,62.00
US-NJ,071,485.0000,52.00,225.00,4.00,107.00,20.00,77.00
US-Unknown,Unknown,484.0000,2.00,1.00,,3.00,,478.00
US-AZ,856,479.0000,228.00,21.00,5.00,146.00,13.00,66.00
US-CA,927,473.0000,138.00,16.00,57.00,186.00,29.00,47.00
US-CA,950,471.0000,147.00,5.00,29.00,45.00,46.00,199.00
US-ME,042,469.0000,403.00,14.00,3.00,17.00,20.00,12.00
US-OH,445,468.0000,282.00,92.00,2.00,53.00,12.00,27.00
US-AL,356,466.0000,268.00,41.00,1.00,5.00,5.00,146.00
US-CA,932,466.0000,158.00,10.00,4.00,170.00,31.00,93.00
US-MD,218,462.0000,218.00,96.00,5.00,13.00,13.00,117.00
US-NY,105,461.0000,222.00,77.00,10.00,78.00,16.00,58.00
US-OK,741,461.0000,182.00,42.00,4.00,21.00,16.00,196.00
US-ME,040,459.0000,375.00,13.00,8.00,14.00,37.00,12.00
US-CA,907,459.0000,127.00,59.00,31.00,116.00,21.00,105.00
US-NY,114,459.0000,65.00,140.00,52.00,88.00,12.00,102.00
US-NC,274,456.0000,199.00,193.00,7.00,30.00,11.00,16.00
US-NY,144,454.0000,360.00,20.00,8.00,43.00,14.00,9.00
US-CA,951,452.0000,98.00,11.00,51.00,84.00,41.00,167.00
US-KY,404,448.0000,330.00,18.00,3.00,17.00,28.00,52.00
US-TX,765,447.0000,156.00,44.00,5.00,49.00,7.00,186.00
US-CT,061,444.0000,124.00,87.00,12.00,106.00,14.00,101.00
US-IN,467,443.0000,291.00,9.00,1.00,10.00,16.00,116.00
US-PA,175,440.0000,258.00,23.00,6.00,32.00,13.00,108.00
US-PA,195,440.0000,302.00,10.00,4.00,32.00,26.00,66.00
US-SC,297,438.0000,234.00,46.00,5.00,8.00,9.00,136.00
US-OH,447,437.0000,278.00,41.00,2.00,10.00,7.00,99.00
US-OH,439,436.0000,341.00,21.00,1.00,12.00,10.00,51.00
US-AR,721,435.0000,286.00,55.00,19.00,16.00,27.00,32.00
US-VA,220,431.0000,205.00,55.00,53.00,66.00,21.00,31.00
US-NY,145,430.0000,355.00,24.00,9.00,21.00,12.00,9.00
US-MD,206,427.0000,166.00,113.00,3.00,12.00,10.00,123.00
US-NY,115,425.0000,166.00,70.00,21.00,56.00,13.00,99.00
US-NY,120,425.0000,309.00,18.00,4.00,21.00,13.00,60.00
US-TX,757,425.0000,239.00,48.00,3.00,18.00,8.00,109.00
US-WI,544,424.0000,354.00,13.00,8.00,10.00,8.00,31.00
US-VA,233,424.0000,203.00,118.00,8.00,40.00,30.00,25.00
US-WI,537,423.0000,257.00,33.00,11.00,32.00,12.00,78.00
US-FL,323,423.0000,212.00,104.00,7.00,19.00,10.00,71.00
US-DE,198,423.0000,175.00,138.00,1.00,31.00,8.00,70.00
US-VA,243,422.0000,296.00,25.00,1.00,11.00,35.00,54.00
US-NC,273,422.0000,286.00,64.00,6.00,24.00,7.00,35.00
US-IN,468,422.0000,221.00,63.00,1.00,17.00,12.00,108.00
US-SC,291,421.0000,216.00,92.00,1.00,10.00,4.00,98.00
US-PA,181,420.0000,169.00,50.00,6.00,138.00,10.00,47.00
US-MO,652,419.0000,302.00,21.00,3.00,8.00,21.00,64.00
US-GA,315,418.0000,234.00,49.00,11.00,11.00,20.00,93.00
US-NC,271,417.0000,205.00,93.00,1.00,16.00,7.00,95.00
US-NY,121,417.0000,293.00,29.00,8.00,20.00,13.00,54.00
US-MA,015,417.0000,278.00,14.00,4.00,40.00,5.00,76.00
US-NV,894,415.0000,182.00,5.00,2.00,33.00,34.00,159.00
US-CA,954,414.0000,214.00,11.00,6.00,55.00,60.00,68.00
US-NJ,082,413.0000,190.00,41.00,3.00,36.00,48.00,95.00
US-OH,458,410.0000,295.00,27.00,3.00,33.00,14.00,38.00
US-VA,230,409.0000,210.00,80.00,9.00,41.00,34.00,35.00
US-KY,407,408.0000,322.00,12.00,2.00,6.00,30.00,36.00
US-NH,038,407.0000,305.00,9.00,2.00,14.00,38.00,39.00
US-WV,254,407.0000,310.00,41.00,5.00,19.00,9.00,23.00
