Patient State,Patient ZIP-3,Cohort Patient Count or %,White,Black or African American,Asian or Pacific Islander,Hispanic or Latino,Other,Unknown
US-WI,538,78.0000,55.00,,1.00,1.00,4.00,17.00
US-CA,915,77.0000,32.00,1.00,4.00,14.00,9.00,17.00
US-NY,143,76.0000,39.00,12.00,,2.00,2.00,21.00
US-ME,045,76.0000,55.00,1.00,2.00,7.00,11.00,
US-NE,686,76.0000,52.00,2.00,1.00,3.00,,18.00
US-PA,164,75.0000,54.00,1.00,,,1.00,19.00
US-CO,816,73.0000,51.00,1.00,,6.00,5.00,10.00
US-IL,607,73.0000,34.00,7.00,7.00,12.00,6.00,7.00
US-ME,046,72.0000,46.00,2.00,,2.00,7.00,15.00
US-MA,012,72.0000,54.00,2.00,,4.00,6.00,6.00
US-CA,904,72.0000,24.00,3.00,4.00,14.00,12.00,15.00
US-CO,812,71.0000,36.00,1.00,1.00,4.00,3.00,26.00
US-NY,108,71.0000,23.00,11.00,3.00,19.00,3.00,12.00
US-ME,043,70.0000,59.00,1.00,,3.00,2.00,5.00
US-TX,793,69.0000,34.00,2.00,2.00,17.00,1.00,13.00
US-WY,829,68.0000,41.00,,,6.00,1.00,20.00
US-ND,580,68.0000,32.00,,,3.00,,33.00
US-MO,651,67.0000,51.00,4.00,,,,12.00
US-IL,619,67.0000,46.00,2.00,,1.00,,18.00
US-MI,499,66.0000,56.00,2.00,,5.00,1.00,2.00
US-PA,188,66.0000,48.00,2.00,,6.00,1.00,9.00
US-OK,746,65.0000,44.00,4.00,,4.00,5.00,8.00
US-ND,585,65.0000,29.00,,,,2.00,34.00
US-CA,944,64.0000,19.00,3.00,11.00,8.00,5.00,18.00
US-NC,289,64.0000,41.00,3.00,2.00,2.00,2.00,14.00
US-NV,898,64.0000,26.00,2.00,,3.00,4.00,29.00
US-IL,615,64.0000,46.00,2.00,,1.00,2.00,13.00
US-VT,053,63.0000,43.00,1.00,1.00,3.00,1.00,14.00
US-CO,813,62.0000,33.00,1.00,1.00,5.00,2.00,20.00
US-MS,387,61.0000,19.00,38.00,,,1.00,3.00
US-ND,586,60.0000,38.00,1.00,3.00,6.00,,12.00
US-AZ,859,60.0000,36.00,3.00,1.00,7.00,4.00,9.00
US-KS,668,59.0000,42.00,3.00,,9.00,3.00,2.00
US-CA,918,59.0000,10.00,2.00,5.00,29.00,3.00,10.00
US-ME,047,58.0000,36.00,1.00,,,5.00,16.00
US-MO,644,58.0000,40.00,2.00,,1.00,1.00,14.00
US-MN,561,58.0000,32.00,3.00,3.00,2.00,6.00,12.00
US-MT,590,57.0000,41.00,1.00,1.00,3.00,2.00,9.00
US-NY,106,57.0000,23.00,11.00,1.00,9.00,3.00,10.00
US-IA,514,57.0000,42.00,3.00,,4.00,,8.00
US-ID,835,55.0000,34.00,2.00,,2.00,7.00,10.00
US-PR,009,55.0000,,,,31.00,,24.00
US-WV,268,55.0000,48.00,3.00,,3.00,,1.00
US-NH,035,54.0000,48.00,,,1.00,2.00,3.00
US-WY,827,54.0000,23.00,,,3.00,3.00,25.00
US-ME,048,53.0000,48.00,,,2.00,2.00,1.00
US-TX,788,53.0000,10.00,1.00,,22.00,1.00,19.00
US-WV,266,51.0000,41.00,2.00,,3.00,,5.00
US-VT,051,50.0000,45.00,2.00,,,1.00,2.00
US-OK,736,50.0000,31.00,1.00,,4.00,1.00,13.00
US-VT,052,50.0000,31.00,2.00,,4.00,,13.00
US-KS,678,49.0000,17.00,3.00,1.00,7.00,3.00,18.00
US-WY,828,48.0000,34.00,,,1.00,1.00,12.00
US-ME,039,47.0000,27.00,,2.00,2.00,6.00,10.00
US-CA,948,46.0000,8.00,10.00,1.00,4.00,4.00,19.00
US-TX,798,46.0000,4.00,,,26.00,1.00,15.00
US-IA,512,45.0000,29.00,1.00,2.00,8.00,2.00,3.00
US-CO,811,43.0000,17.00,,1.00,11.00,,14.00
US-KY,414,43.0000,37.00,,,,1.00,5.00
US-TX,789,43.0000,23.00,7.00,,3.00,,10.00
US-IA,513,42.0000,31.00,3.00,,1.00,2.00,5.00
US-WY,822,42.0000,20.00,,,3.00,,19.00
US-CA,943,41.0000,16.00,,4.00,4.00,5.00,12.00
US-AL,364,40.0000,21.00,3.00,,,1.00,15.00
US-NY,118,39.0000,21.00,1.00,4.00,3.00,2.00,8.00
US-PA,167,39.0000,31.00,2.00,,,1.00,5.00
US-UT,845,39.0000,27.00,,,4.00,2.00,6.00
US-IA,508,38.0000,33.00,1.00,,2.00,1.00,1.00
US-SD,573,37.0000,13.00,,1.00,,1.00,22.00
US-AL,367,36.0000,16.00,13.00,1.00,,,6.00
US-KS,676,36.0000,22.00,,1.00,2.00,4.00,7.00
US-SD,572,34.0000,15.00,1.00,,,2.00,16.00
US-SD,574,33.0000,11.00,2.00,1.00,1.00,2.00,16.00
US-MT,593,33.0000,28.00,,,1.00,,4.00
US-OK,739,33.0000,14.00,,,1.00,,18.00
US-WY,825,31.0000,15.00,,,,1.00,15.00
US-NY,101,27.0000,7.00,2.00,,4.00,3.00,11.00
US-NM,877,26.0000,10.00,2.00,,10.00,,4.00
US-IA,521,25.0000,20.00,1.00,,2.00,,2.00
US-WY,830,25.0000,20.00,,,1.00,,4.00
US-OK,738,25.0000,19.00,,,3.00,,3.00
US-ND,588,25.0000,16.00,2.00,,3.00,,4.00
US-MA,022,23.0000,11.00,6.00,4.00,1.00,,1.00
US-NM,873,22.0000,3.00,1.00,1.00,3.00,10.00,4.00
US-MT,595,22.0000,8.00,,,,,14.00
US-IA,516,19.0000,16.00,,,1.00,,2.00
US-KS,677,19.0000,10.00,1.00,,1.00,,7.00
US-KS,679,19.0000,10.00,,,5.00,,4.00
US-ND,583,19.0000,11.00,1.00,,,,7.00
US-MT,592,18.0000,9.00,,,,4.00,5.00
US-WA,994,18.0000,10.00,1.00,,4.00,1.00,2.00
US-AK,998,17.0000,6.00,2.00,,,2.00,7.00
US-ND,584,17.0000,7.00,,,1.00,1.00,8.00
US-WY,831,13.0000,9.00,,,,,4.00
US-KS,669,13.0000,10.00,1.00,,,,2.00
US-TX,792,10.0000,3.00,2.00,,3.00,,2.00
US-AK,999,10.0000,7.00,1.00,,,1.00,1.00
US-SD,575,8.0000,3.00,,,,,5.00
US-SD,576,7.0000,1.00,,,,2.00,4.00
US-CT,063,6.0000,1.00,,,,,5.00
US-TX,772,5.0000,2.00,3.00,,,,
US-NM,887,4.0000,2.00,,,1.00,,1.00
US-AZ,865,3.0000,,,,,2.00,1.00
US-FL,332,2.0000,,,,2.00,,
US-GA,311,2.0000,1.00,,,,,1.00
US-GU,969,1.0000,1.00,,,,,
