Patient Payer Name,Cohort Patient Count or %
IMPERIAL HEALTH PLAN,6.000000000000
STATE FFS MEDICAID (RI),6.000000000000
POSITIVE HEALTHCARE,5.000000000000
MY CHOICE WISCONSIN,5.000000000000
AMERICAN POSTAL WORKERS UNION,5.000000000000
AMIDA CARE,5.000000000000
PROVIDER PARTNERS HEALTH PLAN,4.000000000000
PREFERRED CARE NETWORK,4.000000000000
CALVIVA HEALTH,4.000000000000
MEMORIAL HERMANN HEALTH PLAN,4.000000000000
INNOVATION HEALTH,4.000000000000
SENIOR WHOLE HEALTH,4.000000000000
GUNDERSEN HEALTH PLAN,4.000000000000
OHIOHEALTHY,4.000000000000
KELSEYCARE ADVANTAGE,3.000000000000
OHANA HEALTH PLAN,3.000000000000
EASY CHOICE HEALTH PLAN (CA),3.000000000000
CENTERLIGHT HEALTHCARE,3.000000000000
BANNER HEALTH,3.000000000000
SISC (BLUE CROSS CALIFORNIA),3.000000000000
DOCTORS HEALTHCARE PLANS,3.000000000000
COMMUNITY CARE ALLIANCE OF ILLINOIS,3.000000000000
MONTANA HEALTH CO-OP,3.000000000000
SOUNDPATH HEALTH,3.000000000000
PARTNERS HEALTH PLAN,2.000000000000
ASPIRE HEALTH PLAN,2.000000000000
HAMASPIK CHOICE,2.000000000000
EMPIRE PLAN (UHC),2.000000000000
COMMUNITY CARE BEHAVIORAL HEALTH,2.000000000000
CCHP HEALTH PLAN,2.000000000000
VACCINES,2.000000000000
ZING HEALTH,2.000000000000
SELECTCARE,2.000000000000
COLUMBIA PACIFIC CCO,2.000000000000
LIGHTHOUSE HEALTH PLAN,2.000000000000
MAGELLAN BEHAVIORAL HEALTH,2.000000000000
BEACON HEALTH STRATEGIES,2.000000000000
VIBRA HEALTH PLAN,2.000000000000
AMERICAN HEALTH ADVANTAGE,2.000000000000
MAIL HANDLERS BENEFIT PLAN,1.000000000000
CAREPARTNERS OF CONNECTICUT,1.000000000000
PA HEALTH & WELLNESS,1.000000000000
MIAMI CHILDREN'S HEALTH PLAN,1.000000000000
GOLDEN STATE MEDICARE HEALTH PLAN,1.000000000000
OPTUM MEDICAL NETWORK,1.000000000000
PMC MEDICARE CHOICE,1.000000000000
HIGH DESERT MEDICAL GROUP,1.000000000000
OPTUM BEHAVIORAL HEALTH,1.000000000000
STANFORD HEALTH CARE ADVANTAGE,1.000000000000
UNITED BEHAVIORAL HEALTH,1.000000000000
SPARROW PHP,1.000000000000
TROY MEDICARE,1.000000000000
LONGEVITY HEALTH PLAN,1.000000000000
SETON HEALTH PLAN,1.000000000000
HEALTHPARTNERS UNITYPOINT HEALTH,1.000000000000
SIMPRA ADVANTAGE,1.000000000000
PROSPECT MEDICAL GROUP,1.000000000000
MHS HEALTH WISCONSIN,1.000000000000
BAYCARE SELECT HEALTH PLANS,1.000000000000
ALLIED PHYSICIANS,1.000000000000
BRIDGESPAN,1.000000000000
REGAL MEDICAL GROUP,1.000000000000
HEALTH CARE LA,1.000000000000
